,,0,1,2,3
count_of_investments,count,1066.0,145.0,1085.0,187.0
count_of_investments,unique,,,,
count_of_investments,top,,,,
count_of_investments,freq,,,,
count_of_investments,mean,3.423076923076923,3.613793103448276,4.621198156682028,4.711229946524064
count_of_investments,std,3.808095195935571,4.634091974607194,5.458271123290523,5.5814624134402955
count_of_investments,min,1.0,1.0,1.0,1.0
count_of_investments,25%,1.0,1.0,1.0,1.0
count_of_investments,50%,2.0,2.0,3.0,3.0
count_of_investments,75%,4.0,4.0,6.0,5.0
count_of_investments,max,40.0,33.0,45.0,37.0
sum_of_investments,count,1066.0,145.0,1085.0,187.0
sum_of_investments,unique,,,,
sum_of_investments,top,,,,
sum_of_investments,freq,,,,
sum_of_investments,mean,70785.73911819894,168456.06737931035,176012.7965253457,144966.43053475933
sum_of_investments,std,101093.83650064254,757688.1292773965,496076.5675675576,275737.34655327414
sum_of_investments,min,5000.0,5019.93,5000.0,5000.0
sum_of_investments,25%,20000.0,20000.0,25000.0,25000.0
sum_of_investments,50%,40000.0,50000.0,60000.0,55000.0
sum_of_investments,75%,80000.0,150000.0,150000.0,140321.5
sum_of_investments,max,1282500.0,9030481.0,9030481.0,2245000.0
users_age,count,1066.0,145.0,1085.0,187.0
users_age,unique,,,,
users_age,top,,,,
users_age,freq,,,,
users_age,mean,43.93996247654784,49.324137931034485,51.88847926267281,51.6951871657754
users_age,std,9.239340138547437,10.987924406302618,11.372893989819596,10.937659533324812
users_age,min,22.0,31.0,24.0,26.0
users_age,25%,38.0,41.0,43.0,44.0
users_age,50%,42.0,48.0,51.0,51.0
users_age,75%,49.0,56.0,60.0,58.5
users_age,max,87.0,79.0,85.0,84.0
occupation_normalized,count,1066,145,1085,187
occupation_normalized,unique,17,14,19,16
occupation_normalized,top,Medical Professional,Medical Professional,Financial Professional,Corporate
occupation_normalized,freq,457,42,167,33
occupation_normalized,mean,,,,
occupation_normalized,std,,,,
occupation_normalized,min,,,,
occupation_normalized,25%,,,,
occupation_normalized,50%,,,,
occupation_normalized,75%,,,,
occupation_normalized,max,,,,
investment_objectives,count,1066,145,1085,187
investment_objectives,unique,4,4,4,1
investment_objectives,top,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",Unknown
investment_objectives,freq,825,96,604,187
investment_objectives,mean,,,,
investment_objectives,std,,,,
investment_objectives,min,,,,
investment_objectives,25%,,,,
investment_objectives,50%,,,,
investment_objectives,75%,,,,
investment_objectives,max,,,,
investment_experience,count,1066,145,1085,187
investment_experience,unique,4,4,3,1
investment_experience,top,2=moderate,3=extensive,3=extensive,Unknown
investment_experience,freq,851,66,762,187
investment_experience,mean,,,,
investment_experience,std,,,,
investment_experience,min,,,,
investment_experience,25%,,,,
investment_experience,50%,,,,
investment_experience,75%,,,,
investment_experience,max,,,,
risk_tolerance,count,1066,145,1085,187
risk_tolerance,unique,3,1,3,1
risk_tolerance,top,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Unknown,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Unknown
risk_tolerance,freq,881,145,692,187
risk_tolerance,mean,,,,
risk_tolerance,std,,,,
risk_tolerance,min,,,,
risk_tolerance,25%,,,,
risk_tolerance,50%,,,,
risk_tolerance,75%,,,,
risk_tolerance,max,,,,
years_investing_illiquid,count,1066,145,1085,187
years_investing_illiquid,unique,5,5,5,1
years_investing_illiquid,top,1 - 5 years,1 - 5 years,5 - 10 years,Unknown
years_investing_illiquid,freq,860,75,323,187
years_investing_illiquid,mean,,,,
years_investing_illiquid,std,,,,
years_investing_illiquid,min,,,,
years_investing_illiquid,25%,,,,
years_investing_illiquid,50%,,,,
years_investing_illiquid,75%,,,,
years_investing_illiquid,max,,,,
marital_status,count,1066,145,1085,187
marital_status,unique,5,3,5,5
marital_status,top,Married,Unknown,Married,Married
marital_status,freq,807,104,770,123
marital_status,mean,,,,
marital_status,std,,,,
marital_status,min,,,,
marital_status,25%,,,,
marital_status,50%,,,,
marital_status,75%,,,,
marital_status,max,,,,
investment_time_horizon,count,1066,145,1085,187
investment_time_horizon,unique,4,1,4,1
investment_time_horizon,top,1 – 5 years,Unknown,1 – 5 years,Unknown
investment_time_horizon,freq,568,145,508,187
investment_time_horizon,mean,,,,
