id,count_of_investments,sum_of_investments,users_age,occupation_normalized,investment_objectives,investment_experience,risk_tolerance,years_investing_illiquid,marital_status,investment_time_horizon,liquid_net_worth,years_investing_securities,income_information_type,Cluster
7,5,30600.0,37,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$100,001 - $250,000",5 - 10 years,Unknown,2
7,5,30600.0,37,Real Estate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"< $100,000",5 - 10 years,joint,2
7,5,30600.0,37,Real Estate,Unknown,Unknown,Unknown,Unknown,Married,Unknown,Unknown,Unknown,Unknown,2
7,5,30600.0,37,Real Estate,Unknown,Unknown,Unknown,Unknown,Married,Unknown,Unknown,Unknown,Unknown,2
11,1,11000.0,42,Financial Professional,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$2,500,001 - $10,000,000",15 - 20 years,Unknown,4
11,1,11000.0,42,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,Unknown,4
47,25,755000.0,32,Business Development,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$100,001 - $250,000",10 - 15 years,individual,2
125,12,255000.0,56,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$2,500,001 - $10,000,000",> 20 years,individual,0
325,3,63951.0,35,Real Estate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,2=moderate,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Single,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,individual,2
339,6,51125.0,34,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Single,1 – 5 years,"$100,001 - $250,000",10 - 15 years,Unknown,2
